timestamp_utc,total_cpu_pct,matlab_cpu_s,python_cpu_s,lm_studio_cpu_s
2026-08-17T14:03:31.8643024+00:00,23.747124,1387.750000,0.000000,29.703125
2026-08-17T14:03:33.9594735+00:00,14.350896,1389.781250,0.000000,29.703125
2026-08-17T14:03:36.0131832+00:00,15.569148,1393.500000,0.000000,29.703125
2026-08-17T14:03:38.0772630+00:00,16.348495,1396.609375,0.000000,29.703125
2026-08-17T14:03:40.1379174+00:00,13.397094,1398.343750,0.000000,29.703125
2026-08-17T14:03:42.1782699+00:00,16.602584,1401.062500,0.000000,29.703125
2026-08-17T14:03:44.2377421+00:00,14.413323,1401.531250,0.000000,29.703125
2026-08-17T14:03:46.2991127+00:00,15.831913,1401.593750,0.000000,29.703125
2026-08-17T14:03:48.3540547+00:00,19.710480,1401.750000,0.000000,29.703125
2026-08-17T14:03:50.4117588+00:00,17.648717,1401.781250,0.000000,29.703125
2026-08-17T14:03:52.4685823+00:00,20.670032,1404.500000,0.000000,29.703125
2026-08-17T14:03:54.5220710+00:00,20.487505,1409.187500,0.000000,29.703125
2026-08-17T14:03:56.5759402+00:00,17.529149,1414.406250,0.000000,29.703125
2026-08-17T14:03:58.6368165+00:00,17.597562,1417.296875,0.000000,29.703125
2026-08-17T14:04:00.6922842+00:00,13.178262,1421.468750,0.000000,29.703125
2026-08-17T14:04:02.7418393+00:00,15.609333,1425.593750,0.000000,29.703125
2026-08-17T14:04:04.7953145+00:00,13.611811,1429.703125,0.000000,29.718750
2026-08-17T14:04:06.8538436+00:00,14.817921,1433.843750,0.000000,29.718750
2026-08-17T14:04:08.9033633+00:00,15.208168,1437.953125,0.000000,29.718750
2026-08-17T14:04:10.9568383+00:00,13.995499,1442.093750,0.000000,29.734375
2026-08-17T14:04:13.0153686+00:00,13.307312,1446.250000,0.000000,29.734375
2026-08-17T14:04:15.0678796+00:00,10.274804,1450.343750,0.000000,29.750000
2026-08-17T14:04:17.1203929+00:00,12.616674,1454.500000,0.000000,29.750000
2026-08-17T14:04:19.1739017+00:00,12.315797,1458.656250,0.000000,29.750000
2026-08-17T14:04:21.2273757+00:00,11.834567,1462.750000,0.000000,29.796875
2026-08-17T14:04:23.2819284+00:00,12.055674,1466.937500,0.000000,29.796875
2026-08-17T14:04:25.3363902+00:00,15.510726,1471.062500,0.000000,29.812500
2026-08-17T14:04:27.3889362+00:00,14.001649,1475.234375,0.000000,29.812500
2026-08-17T14:04:29.4434084+00:00,13.351985,1479.437500,0.000000,29.812500
2026-08-17T14:04:31.4979494+00:00,13.394455,1483.546875,0.000000,29.828125
2026-08-17T14:04:33.5494298+00:00,13.268786,1487.750000,0.000000,29.828125
2026-08-17T14:04:35.6050384+00:00,12.236847,1491.921875,0.000000,29.828125
2026-08-17T14:04:37.6585476+00:00,13.568005,1496.093750,0.000000,29.828125
2026-08-17T14:04:39.7120570+00:00,12.571969,1500.218750,0.000000,29.828125
2026-08-17T14:04:41.7655676+00:00,12.270247,1504.421875,0.000000,29.828125
2026-08-17T14:04:43.8230641+00:00,10.590127,1508.562500,0.000000,29.828125
2026-08-17T14:04:45.8775718+00:00,11.838825,1512.687500,0.000000,29.843750
2026-08-17T14:04:47.9331714+00:00,12.623792,1516.796875,0.000000,29.843750
2026-08-17T14:04:49.9875814+00:00,12.702129,1520.906250,0.000000,29.843750
2026-08-17T14:04:52.0460770+00:00,12.965288,1525.015625,0.000000,29.843750
2026-08-17T14:04:54.0995855+00:00,10.756930,1529.125000,0.000000,29.843750
2026-08-17T14:04:56.1550897+00:00,17.624944,1533.296875,0.000000,29.843750
2026-08-17T14:04:58.2115571+00:00,14.304806,1537.406250,0.000000,29.843750
2026-08-17T14:05:00.2630715+00:00,26.844186,1541.515625,0.000000,29.843750
2026-08-17T14:05:02.3246022+00:00,48.008521,1545.703125,0.000000,29.843750
2026-08-17T14:05:04.3900559+00:00,16.342659,1549.984375,0.000000,29.843750
2026-08-17T14:05:06.4624803+00:00,15.421036,1554.156250,0.000000,29.843750
2026-08-17T14:05:08.5329444+00:00,13.780351,1558.312500,0.000000,29.843750
2026-08-17T14:05:10.6044057+00:00,15.679448,1562.468750,0.000000,29.843750
2026-08-17T14:05:12.6619501+00:00,10.805513,1566.609375,0.000000,29.843750
2026-08-17T14:05:14.7314049+00:00,11.753945,1570.765625,0.000000,29.843750
2026-08-17T14:05:16.7859091+00:00,13.095073,1574.890625,0.000000,29.843750
2026-08-17T14:05:18.8414184+00:00,12.360612,1579.015625,0.000000,29.843750
2026-08-17T14:05:20.8969178+00:00,9.597843,1583.156250,0.000000,29.843750
2026-08-17T14:05:22.9833418+00:00,13.567937,1587.328125,0.000000,29.843750
2026-08-17T14:05:25.0408055+00:00,12.616684,1591.453125,0.000000,29.843750
2026-08-17T14:05:27.1222385+00:00,12.531948,1595.640625,0.000000,29.843750
2026-08-17T14:05:29.1777775+00:00,13.524295,1599.859375,0.000000,29.843750
2026-08-17T14:05:31.2352761+00:00,13.051843,1604.093750,0.000000,29.843750
