controller,simulated_time_s,wall_time_s,matlab_cpu_s,realtime_factor,matlab_average_core_pct,average_system_cpu_pct,python_cpu_delta_s,lm_studio_cpu_delta_s,llm_calls,mean_llm_latency_s,p95_llm_latency_s,llm_fallbacks
Deterministic state machine,120,149.2631663,137.375,0.80394917898777,92.0354320528708,14.4547167534247,0,0.140625,0,NaN,NaN,0
LLM/UDP guarded state machine,120,152.9409151,146.765625,0.784616725495191,95.9623034189626,18.5043294054054,2.65625,15.953125,11,1.57368827272727,3.21936165,1
