timestamp_utc,total_cpu_pct,matlab_cpu_s,python_cpu_s,lm_studio_cpu_s
2026-08-17T14:30:01.3888140+00:00,20.908061,1347.671875,1.734375,30.656250
2026-08-17T14:30:03.5755684+00:00,20.268480,1353.625000,1.734375,30.656250
2026-08-17T14:30:05.6553974+00:00,20.448612,1359.156250,1.734375,30.656250
2026-08-17T14:30:07.7230366+00:00,18.095906,1363.187500,1.734375,30.656250
2026-08-17T14:30:09.7774196+00:00,18.075199,1367.328125,1.734375,30.656250
2026-08-17T14:30:11.8279613+00:00,16.254426,1370.343750,1.734375,30.656250
2026-08-17T14:30:13.8842562+00:00,17.355726,1373.484375,1.734375,30.656250
2026-08-17T14:30:15.9553879+00:00,15.619816,1374.187500,1.734375,30.656250
2026-08-17T14:30:18.0149618+00:00,15.730083,1374.218750,1.734375,30.656250
2026-08-17T14:30:20.0727859+00:00,16.202054,1374.250000,1.734375,30.671875
2026-08-17T14:30:22.1227613+00:00,18.450591,1374.437500,1.734375,30.687500
2026-08-17T14:30:24.1939472+00:00,16.954943,1377.437500,1.734375,30.687500
2026-08-17T14:30:26.2504496+00:00,19.617586,1381.468750,1.734375,30.687500
2026-08-17T14:30:28.3122485+00:00,19.036243,1384.593750,1.734375,30.687500
2026-08-17T14:30:30.3758653+00:00,24.239758,1388.593750,1.734375,30.687500
2026-08-17T14:30:32.4245884+00:00,21.994556,1392.937500,1.734375,30.687500
2026-08-17T14:30:34.4790942+00:00,15.257914,1397.046875,1.734375,30.687500
2026-08-17T14:30:36.5336010+00:00,13.441056,1401.156250,1.734375,30.687500
2026-08-17T14:30:38.5901313+00:00,12.227731,1405.234375,1.734375,30.687500
2026-08-17T14:30:40.6426421+00:00,18.646173,1409.406250,1.765625,30.687500
2026-08-17T14:30:42.7031335+00:00,19.944247,1413.609375,2.484375,31.578125
2026-08-17T14:30:44.7566417+00:00,42.622351,1417.656250,2.515625,32.421875
2026-08-17T14:30:46.8061615+00:00,12.962165,1421.781250,2.515625,32.421875
2026-08-17T14:30:48.8606717+00:00,18.399373,1426.000000,2.531250,32.421875
2026-08-17T14:30:50.9082335+00:00,15.522625,1430.125000,2.546875,32.765625
