controller,min_v_bus_v,max_v_bus_v,v_bus_rmse_v,max_abs_v_error_v,soc_change_pct,min_p_batt_ref_w,max_p_batt_ref_w,battery_energy_to_bus_wh,state_transition_count,bus_support_time_s,safe_local_time_s
Deterministic state machine,396.804403071358,401.17721180214,0.0852996374207062,3.19559692864198,0.00249316938240085,-100,125,-0.347475095775366,1,70,0
LLM/UDP guarded state machine,397.855011078138,400.785259251334,0.0713744274486517,2.14498892186202,-0.000178916242600025,-100,125,0.0191913279823345,3,70,0.2
