tick_index,status,sim_time_s,soc_pct,v_bus_v,v_batt_v,i_batt_a,p_batt_w,p_load_w,load_consumption_w,p_source_w,max_safe_discharge_w,max_safe_charge_w,source_power_limit_w,source_deficit_w,source_support_needed,source_support_active,source_support_target_w,bus_voltage_error_v,bus_voltage_support_w,bus_voltage_support_active,bus_support_integral_error_v,bus_support_integral_v_s,bus_support_integral_w,bus_support_integral_context_active,bus_support_trim_error_v,bus_support_trim_source_slack_w,bus_support_trim_w,bus_support_target_unslewed_w,bus_support_target_slew_active,bus_support_target_w,source_can_sink_power,source_at_limit,source_available,fault_flags,observation_extra,policy_mode,policy_p_batt_cmd_w,policy_command_enable,policy_command_reason,command_mode,p_batt_cmd_w,command_enable,command_reason,constraint_note,violations
0,running,0.0,55.0,400.0,303.0,0.0,0.0,2500.0,2500.0,2500.0,500.0,475.0,3000.0,0.0,False,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,500.0,0.0,0.0,False,0.0,False,False,True,{},"{'command_mode': 'HOLD', 'command_p_batt_cmd_w': 0.0, 'load_consumption_w': 2500.0, 'max_safe_discharge_w': 500.0, 'max_safe_charge_w': 475.0, 'source_power_limit_w': 3000.0, 'source_deficit_w': 0.0, 'source_support_needed': False, 'source_support_active': False, 'source_support_target_w': 0.0, 'bus_voltage_error_v': 0.0, 'bus_voltage_support_w': 0.0, 'bus_voltage_support_active': False, 'bus_support_integral_error_v': 0.0, 'bus_support_integral_v_s': 0.0, 'bus_support_integral_w': 0.0, 'bus_support_integral_context_active': False, 'bus_support_integral_gain_w_per_v_s': 0.0, 'bus_support_integral_max_w': 20.0, 'bus_support_integral_leak_per_s': 0.25, 'bus_support_integral_deadband_v': 0.25, 'bus_support_trim_error_v': 0.0, 'bus_support_trim_source_slack_w': 500.0, 'bus_support_trim_w': 0.0, 'bus_support_trim_gain_w_per_v_s': 0.0, 'bus_support_trim_max_w': 12.0, 'bus_support_trim_decay_w_per_s': 0.25, 'bus_support_trim_deadband_v': 0.25, 'bus_support_trim_source_slack_deadband_w': 2.0, 'bus_support_target_unslewed_w': 0.0, 'bus_support_target_slew_active': False, 'bus_support_target_slew_down_w_per_s': 0.0, 'bus_support_target_w': 0.0, 'bus_support_min_w': 150.0, 'bus_support_gain_w_per_v': 5.0, 'source_support_entry_margin_w': 5.0, 'source_support_clear_margin_w': 1.0, 'source_support_bus_hysteresis_v': 5.0, 'source_support_hold_s': 3.0, 'source_backfeed_guard_enabled': True, 'source_min_power_w': 0.0, 'source_power_margin_w': 25.0, 'charge_headroom_guard_enabled': True, 'charge_power_margin_w': 25.0, 'charge_resume_bus_v': 385.0, 'charge_blocked_until_s': 0.0, 'post_discharge_charge_hold_s': 10.0, 'block_discharge_below_soc_min': True, 'allow_source_support_below_soc_min': True}",HOLD,0.0,True,SOC and bus voltage are inside target band,HOLD,0.0,True,SOC and bus voltage are inside target band,none,
1,running,1.0,55.0,400.0,303.0,0.0,0.0,2500.0,2500.0,2500.0,500.0,475.0,3000.0,0.0,False,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,500.0,0.0,0.0,False,0.0,False,False,True,{},"{'command_mode': 'HOLD', 'command_p_batt_cmd_w': 0.0, 'load_consumption_w': 2500.0, 'max_safe_discharge_w': 500.0, 'max_safe_charge_w': 475.0, 'source_power_limit_w': 3000.0, 'source_deficit_w': 0.0, 'source_support_needed': False, 'source_support_active': False, 'source_support_target_w': 0.0, 'bus_voltage_error_v': 0.0, 'bus_voltage_support_w': 0.0, 'bus_voltage_support_active': False, 'bus_support_integral_error_v': 0.0, 'bus_support_integral_v_s': 0.0, 'bus_support_integral_w': 0.0, 'bus_support_integral_context_active': False, 'bus_support_integral_gain_w_per_v_s': 0.0, 'bus_support_integral_max_w': 20.0, 'bus_support_integral_leak_per_s': 0.25, 'bus_support_integral_deadband_v': 0.25, 'bus_support_trim_error_v': 0.0, 'bus_support_trim_source_slack_w': 500.0, 'bus_support_trim_w': 0.0, 'bus_support_trim_gain_w_per_v_s': 0.0, 'bus_support_trim_max_w': 12.0, 'bus_support_trim_decay_w_per_s': 0.25, 'bus_support_trim_deadband_v': 0.25, 'bus_support_trim_source_slack_deadband_w': 2.0, 'bus_support_target_unslewed_w': 0.0, 'bus_support_target_slew_active': False, 'bus_support_target_slew_down_w_per_s': 0.0, 'bus_support_target_w': 0.0, 'bus_support_min_w': 150.0, 'bus_support_gain_w_per_v': 5.0, 'source_support_entry_margin_w': 5.0, 'source_support_clear_margin_w': 1.0, 'source_support_bus_hysteresis_v': 5.0, 'source_support_hold_s': 3.0, 'source_backfeed_guard_enabled': True, 'source_min_power_w': 0.0, 'source_power_margin_w': 25.0, 'charge_headroom_guard_enabled': True, 'charge_power_margin_w': 25.0, 'charge_resume_bus_v': 385.0, 'charge_blocked_until_s': 0.0, 'post_discharge_charge_hold_s': 10.0, 'block_discharge_below_soc_min': True, 'allow_source_support_below_soc_min': True}",HOLD,0.0,True,SOC and bus voltage are inside target band,HOLD,0.0,True,SOC and bus voltage are inside target band,none,
2,running,2.0,55.0,400.0,303.0,0.0,0.0,2500.0,2500.0,2500.0,500.0,475.0,3000.0,0.0,False,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,500.0,0.0,0.0,False,0.0,False,False,True,{},"{'command_mode': 'HOLD', 'command_p_batt_cmd_w': 0.0, 'load_consumption_w': 2500.0, 'max_safe_discharge_w': 500.0, 'max_safe_charge_w': 475.0, 'source_power_limit_w': 3000.0, 'source_deficit_w': 0.0, 'source_support_needed': False, 'source_support_active': False, 'source_support_target_w': 0.0, 'bus_voltage_error_v': 0.0, 'bus_voltage_support_w': 0.0, 'bus_voltage_support_active': False, 'bus_support_integral_error_v': 0.0, 'bus_support_integral_v_s': 0.0, 'bus_support_integral_w': 0.0, 'bus_support_integral_context_active': False, 'bus_support_integral_gain_w_per_v_s': 0.0, 'bus_support_integral_max_w': 20.0, 'bus_support_integral_leak_per_s': 0.25, 'bus_support_integral_deadband_v': 0.25, 'bus_support_trim_error_v': 0.0, 'bus_support_trim_source_slack_w': 500.0, 'bus_support_trim_w': 0.0, 'bus_support_trim_gain_w_per_v_s': 0.0, 'bus_support_trim_max_w': 12.0, 'bus_support_trim_decay_w_per_s': 0.25, 'bus_support_trim_deadband_v': 0.25, 'bus_support_trim_source_slack_deadband_w': 2.0, 'bus_support_target_unslewed_w': 0.0, 'bus_support_target_slew_active': False, 'bus_support_target_slew_down_w_per_s': 0.0, 'bus_support_target_w': 0.0, 'bus_support_min_w': 150.0, 'bus_support_gain_w_per_v': 5.0, 'source_support_entry_margin_w': 5.0, 'source_support_clear_margin_w': 1.0, 'source_support_bus_hysteresis_v': 5.0, 'source_support_hold_s': 3.0, 'source_backfeed_guard_enabled': True, 'source_min_power_w': 0.0, 'source_power_margin_w': 25.0, 'charge_headroom_guard_enabled': True, 'charge_power_margin_w': 25.0, 'charge_resume_bus_v': 385.0, 'charge_blocked_until_s': 0.0, 'post_discharge_charge_hold_s': 10.0, 'block_discharge_below_soc_min': True, 'allow_source_support_below_soc_min': True}",HOLD,0.0,True,SOC and bus voltage are inside target band,HOLD,0.0,True,SOC and bus voltage are inside target band,none,
3,running,3.0,55.0,400.0,303.0,0.0,0.0,2500.0,2500.0,2500.0,500.0,475.0,3000.0,0.0,False,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,500.0,0.0,0.0,False,0.0,False,False,True,{},"{'command_mode': 'HOLD', 'command_p_batt_cmd_w': 0.0, 'load_consumption_w': 2500.0, 'max_safe_discharge_w': 500.0, 'max_safe_charge_w': 475.0, 'source_power_limit_w': 3000.0, 'source_deficit_w': 0.0, 'source_support_needed': False, 'source_support_active': False, 'source_support_target_w': 0.0, 'bus_voltage_error_v': 0.0, 'bus_voltage_support_w': 0.0, 'bus_voltage_support_active': False, 'bus_support_integral_error_v': 0.0, 'bus_support_integral_v_s': 0.0, 'bus_support_integral_w': 0.0, 'bus_support_integral_context_active': False, 'bus_support_integral_gain_w_per_v_s': 0.0, 'bus_support_integral_max_w': 20.0, 'bus_support_integral_leak_per_s': 0.25, 'bus_support_integral_deadband_v': 0.25, 'bus_support_trim_error_v': 0.0, 'bus_support_trim_source_slack_w': 500.0, 'bus_support_trim_w': 0.0, 'bus_support_trim_gain_w_per_v_s': 0.0, 'bus_support_trim_max_w': 12.0, 'bus_support_trim_decay_w_per_s': 0.25, 'bus_support_trim_deadband_v': 0.25, 'bus_support_trim_source_slack_deadband_w': 2.0, 'bus_support_target_unslewed_w': 0.0, 'bus_support_target_slew_active': False, 'bus_support_target_slew_down_w_per_s': 0.0, 'bus_support_target_w': 0.0, 'bus_support_min_w': 150.0, 'bus_support_gain_w_per_v': 5.0, 'source_support_entry_margin_w': 5.0, 'source_support_clear_margin_w': 1.0, 'source_support_bus_hysteresis_v': 5.0, 'source_support_hold_s': 3.0, 'source_backfeed_guard_enabled': True, 'source_min_power_w': 0.0, 'source_power_margin_w': 25.0, 'charge_headroom_guard_enabled': True, 'charge_power_margin_w': 25.0, 'charge_resume_bus_v': 385.0, 'charge_blocked_until_s': 0.0, 'post_discharge_charge_hold_s': 10.0, 'block_discharge_below_soc_min': True, 'allow_source_support_below_soc_min': True}",HOLD,0.0,True,SOC and bus voltage are inside target band,HOLD,0.0,True,SOC and bus voltage are inside target band,none,
4,running,4.0,55.0,400.0,303.0,0.0,0.0,2500.0,2500.0,2500.0,500.0,475.0,3000.0,0.0,False,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,500.0,0.0,0.0,False,0.0,False,False,True,{},"{'command_mode': 'HOLD', 'command_p_batt_cmd_w': 0.0, 'load_consumption_w': 2500.0, 'max_safe_discharge_w': 500.0, 'max_safe_charge_w': 475.0, 'source_power_limit_w': 3000.0, 'source_deficit_w': 0.0, 'source_support_needed': False, 'source_support_active': False, 'source_support_target_w': 0.0, 'bus_voltage_error_v': 0.0, 'bus_voltage_support_w': 0.0, 'bus_voltage_support_active': False, 'bus_support_integral_error_v': 0.0, 'bus_support_integral_v_s': 0.0, 'bus_support_integral_w': 0.0, 'bus_support_integral_context_active': False, 'bus_support_integral_gain_w_per_v_s': 0.0, 'bus_support_integral_max_w': 20.0, 'bus_support_integral_leak_per_s': 0.25, 'bus_support_integral_deadband_v': 0.25, 'bus_support_trim_error_v': 0.0, 'bus_support_trim_source_slack_w': 500.0, 'bus_support_trim_w': 0.0, 'bus_support_trim_gain_w_per_v_s': 0.0, 'bus_support_trim_max_w': 12.0, 'bus_support_trim_decay_w_per_s': 0.25, 'bus_support_trim_deadband_v': 0.25, 'bus_support_trim_source_slack_deadband_w': 2.0, 'bus_support_target_unslewed_w': 0.0, 'bus_support_target_slew_active': False, 'bus_support_target_slew_down_w_per_s': 0.0, 'bus_support_target_w': 0.0, 'bus_support_min_w': 150.0, 'bus_support_gain_w_per_v': 5.0, 'source_support_entry_margin_w': 5.0, 'source_support_clear_margin_w': 1.0, 'source_support_bus_hysteresis_v': 5.0, 'source_support_hold_s': 3.0, 'source_backfeed_guard_enabled': True, 'source_min_power_w': 0.0, 'source_power_margin_w': 25.0, 'charge_headroom_guard_enabled': True, 'charge_power_margin_w': 25.0, 'charge_resume_bus_v': 385.0, 'charge_blocked_until_s': 0.0, 'post_discharge_charge_hold_s': 10.0, 'block_discharge_below_soc_min': True, 'allow_source_support_below_soc_min': True}",HOLD,0.0,True,SOC and bus voltage are inside target band,HOLD,0.0,True,SOC and bus voltage are inside target band,none,
